id,sub_total,shipping_cost,shipping_total,grand_total,split_test_variant_id,"created_at","updated_at"
1,8900,1531,1531,10431,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
2,8000,1420,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
3,7000,1478,1478,8478,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
4,8500,1572,1572,10072,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
5,8900,1565,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
6,6000,1410,1410,7410,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
7,8900,1558,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
8,4000,1398,1398,5398,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
9,5000,1371,1371,6371,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
10,9900,1654,1654,11554,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
11,4000,1311,1311,5311,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
12,8900,1632,1632,10532,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
13,4000,1287,1287,5287,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
14,5000,1340,1340,6340,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
15,4000,1308,1308,5308,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
16,5000,1400,1400,6400,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
17,8000,1502,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
18,8500,1523,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
19,8000,1584,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
20,5000,1433,1433,6433,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
21,8500,1591,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
22,9900,1587,1587,11487,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
23,8000,1531,1531,9531,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
24,8500,1492,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
25,8000,1420,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
26,4000,1302,1302,5302,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
27,8500,1563,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
28,8900,1597,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
29,8500,1536,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
30,9500,1595,0,9500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
31,8000,1527,1527,9527,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
